OTU ID	LCAX001	LCAX002	LCAX003	LCAX004	LCAX005	LCAX006	LCAX007	LCAX009	LCAX010	LCAX011	LCAX012	LCAX013	LCAX014	LCAX016	LCAX017	LCAX018	LCAX019	LCAX023	LCAX024	LCAX025	LCAX026	LCAX027	LCAX028	LCAX029	LCAX030	LCAX031	LCAX032	LCAX033	LCAX034	LCAX038	LCAX039	LCAX040	LCAX041	LCAX042	LCAX043	LCAX044	LCAX045	LCAX046	LCAX047	LCAX048	LCAX049	LCAX051	LCAX052A	LCAX053	LCAX054	LCAX055	LCAX056	LCAX057	LCAX058	LCAX059	LCAX060	LCAX061	LCAX062	LCAX063	LCAX064	LCAX065	LCAX066	LCAX067	LCAX068	LCAX069	LCAX070	LCAX071	LCAX072	LCAX073A	LCAX074	LCAX075	LCAX076	LCAX077	LCAX078	LCAX079	LCAX080	LCAX083	LCAX085	LCAX086	LCAX087	LCAX088	LCAX089	LCAX090	LCAX091	LCAX092	LCAX093	LCAX094	LCAX095	LCAX096	LCAX097	LCAX098	LCAX099	LCAX100	LCAX101	LCAX102	LCAX103	LCAX104	LCAX105	LCAX106	LCAX107	LCAX108	LCAX109	LCAX110	LCAX111	LCAX112	LCAX113	LCAX115	LCAX116	LCAX117	LCAX118	LCAX119	LCAX120	LCAX121	LCAX122	LCAX123	LCAX124	LCAX125	LCAX126	LCAX127	LCAX128	LCAX129	LCAX130	LCAX131	LCAX132	LCAX133	LCAX134	LCAX135	LCAX136	LCAX137	LCAX138	LCAX139	LCAX140	LCAX141	LCAX142	LCAX144	LCAX145	LCAX146	LCAX147	LCAX148	LCAX149	LCAX150	LCAX151	LCAX152	LCAX153	LCAX154	LCAX155	LCAX156	LCAX157	LCAX158	LCAX159	LCAX160	LCAX161	LCAX162	LCAX163	LCAX164	LCAX165	LCAX166	LCAX167	LCAX168	LCAX169	LCAX170	LCAX171	LCAX172	LCAXC1	LCAXC2	TAX	CONF
00e848e724a15fcc167c6523b0e9981d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Marinifilaceae;D_5__Odoribacter;D_6__gut metagenome	0.89802714
00f8a2cdfee47efe3c4f60272323ed57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Deferribacteres;D_2__Deferribacteres;D_3__Deferribacterales;D_4__Deferribacteraceae;D_5__Mucispirillum;D_6__bacterium 'Lincoln Park 3'	0.999954026
00fdd458feaa1996a0bc29aa9ede3649	0	0	23	0	16	0	0	0	0	0	0	0	0	0	21	0	0	0	0	7	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	14	26	0	0	104	0	0	0	9	0	71	17	0	0	34	0	0	0	0	20	0	0	0	0	0	0	21	21	0	0	0	0	15	0	0	14	0	0	10	0	0	15	0	0	39	0	0	15	13	0	0	0	0	23	0	38	0	0	0	0	10	37	0	0	0	0	0	0	47	0	12	26	0	35	0	0	0	0	37	0	20	23	0	0	0	0	10	18	0	0	0	47	0	0	14	0	12	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminiclostridium 5;D_6__uncultured bacterium	0.892433285
0149226045f8ec00de6249661ec40cdd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__uncultured;D_6__uncultured soil bacterium	0.760507181
01a1f729368de5c1b658b5c894813a32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Christensenellaceae;D_5__Christensenellaceae R-7 group	0.99895006
01ca69bf148e3cc61de8ec8319611a5d	4	0	0	52	0	121	0	0	34	0	0	44	27	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Ruminococcaceae UCG-014;D_6__uncultured rumen bacterium	0.741150748
01ea32e7cf73306a444c1d7484810934	0	0	72	0	0	440	76	0	1584	0	835	0	115	0	0	0	55	0	0	1308	0	74	0	0	99	128	129	0	0	55	0	0	55	52	0	0	102	0	0	112	615	0	0	394	245	165	0	0	36	0	0	320	88	0	0	138	147	0	322	76	46	0	0	0	0	416	0	55	309	335	187	663	0	696	369	0	620	101	598	1088	0	0	68	0	0	895	2208	0	32	3218	220	1216	382	223	523	0	67	532	114	0	55	44	288	224	91	0	75	578	831	0	0	104	454	0	76	0	0	248	0	35	0	81	1141	76	75	125	0	122	1444	50	443	196	824	0	0	1533	0	165	1024	125	2577	75	56	667	0	0	82	38	0	0	0	183	114	44	193	382	267	0	0	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnospiraceae NK4A136 group	0.998668073
020dff5e997dce3dcdc2de7af243e140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata;D_3__Methanomassiliicoccales;D_4__Methanomethylophilaceae;D_5__uncultured;D_6__gut metagenome	0.87348936
021a4ecbc4b27ecc31cc52f7a4e555aa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae	0.910164259
02538f70dfc547530bad36cb7cb573d2	0	0	0	39	0	25	0	0	0	26	0	0	0	0	0	0	33	0	0	0	0	0	0	0	28	0	0	33	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	29	0	0	0	8	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	20	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	23	0	0	77	23	0	D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Ruminococcaceae;D_5__Candidatus Soleaferrea	0.878670715
